date,city,state,injured,killed,lat,lng
"February 7, 2017",Little Rock,Arkansas,4,1,34.7464809,-92.2895947
"February 6, 2017",Yazoo City,Mississippi,0,4,32.8551326,-90.4056468
"January 31, 2017",Memphis,Tennessee,4,0,35.1490215,-90.0516284
"January 31, 2017",Washington,District of Columbia,4,0,38.8949549,-77.0366455
"January 30, 2017",Minneapolis (Crystal),Minnesota,4,0,44.97997,-93.26384
"January 29, 2017",Shreveport,Louisiana,4,1,32.5221828,-93.7651943
"January 27, 2017",Brownsville,Tennessee,10,0,35.5939671,-89.2622909
"January 26, 2017",Albany,Georgia,3,2,31.5782062,-84.1556808
"January 25, 2017",Chicago,Illinois,6,0,41.8755546,-87.6244211
"January 22, 2017",Chicago (Englewood),Illinois,4,0,41.7790752,-87.6684426
"January 22, 2017",Manvel,Texas,2,3,29.4627365,-95.3579939
"January 22, 2017",Atlanta,Georgia,1,3,33.7490987,-84.3901848
"January 21, 2017",Jonesboro,Georgia,6,0,33.5215013,-84.3538127
"January 21, 2017",Boynton Beach,Florida,5,0,26.5253491,-80.0664308
"January 21, 2017",Memphis,Tennessee,2,2,35.1490215,-90.0516284
"January 20, 2017",Como,Mississippi,4,1,34.5106609,-89.9398116
"January 20, 2017",Fresno,California,4,0,36.7394421,-119.7848306
"January 16, 2017",Houston,Texas,4,0,29.7589382,-95.3676973
"January 16, 2017",Miami,Florida,8,0,25.7742658,-80.1936588
"January 15, 2017",Capulin,Colorado,1,3,37.2838961,-106.1114163
"January 15, 2017",Magnolia,Mississippi,4,1,31.1432328,-90.458708
"January 12, 2017",Kansas City,Missouri,2,3,39.0844687,-94.5630297
"January 12, 2017",Salinas,California,2,2,36.6744117,-121.6550371
"January 11, 2017",Newark,New Jersey,3,1,40.735657,-74.1723666
"January 11, 2017",Chicago,Illinois,3,1,41.8755546,-87.6244211
"January 7, 2017",Flint,Michigan,3,1,43.0171773,-83.7236023
"January 6, 2017",Pasadena,California,2,2,34.1476452,-118.1444778
"January 6, 2017",Fort Lauderdale,Florida,6,5,26.1223084,-80.1433785
"January 4, 2017",Fontana,California,1,3,34.0922335,-117.4350479
"January 3, 2017",Allen,Texas,4,0,33.1031744,-96.6705502
"January 1, 2017",Winstonville,Mississippi,5,0,33.9101113,-90.751488
"January 1, 2017",Dallas,Texas,3,1,32.7762719,-96.7968558
"January 1, 2017",Miami,Florida,7,0,25.7742658,-80.1936588
